PID Priority State r_time w_time n_run cur_q  q0  q1   q2   q3   q4 
1 	 60 	 2 	 34 	 0 	 42 	 4 	 1 	 0 	 0 	 0 	 0
2 	 60 	 2 	 10 	 0 	 24 	 4 	 0 	 0 	 0 	 1 	 0
5 	 80 	 2 	 0 	 0 	 5 	 0 	 1 	 0 	 0 	 0 	 0
4 	 60 	 2 	 17 	 0 	 13 	 4 	 0 	 0 	 0 	 0 	 0
6 	 79 	 2 	 1 	 0 	 3 	 1 	 1 	 0 	 0 	 0 	 0
7 	 78 	 2 	 0 	 0 	 2 	 0 	 2 	 0 	 0 	 0 	 0
8 	 77 	 2 	 0 	 0 	 2 	 0 	 2 	 0 	 0 	 0 	 0
9 	 76 	 2 	 0 	 0 	 2 	 0 	 2 	 0 	 0 	 0 	 0
10 	 75 	 2 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0
11 	 74 	 2 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0
12 	 73 	 2 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0
13 	 72 	 2 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0
14 	 71 	 2 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0
PID Priority State r_time w_time n_run cur_q  q0  q1   q2   q3   q4 
1 	 60 	 2 	 34 	 0 	 42 	 4 	 1 	 0 	 0 	 0 	 0
2 	 60 	 2 	 10 	 0 	 24 	 4 	 0 	 0 	 0 	 1 	 0
5 	 80 	 2 	 0 	 0 	 94 	 0 	 12 	 0 	 0 	 0 	 0
4 	 60 	 2 	 17 	 0 	 13 	 4 	 0 	 0 	 0 	 0 	 0
6 	 79 	 2 	 1 	 0 	 88 	 0 	 10 	 6 	 0 	 0 	 0
7 	 78 	 3 	 2 	 2 	 76 	 1 	 6 	 12 	 9 	 2 	 0
8 	 77 	 3 	 6 	 2 	 71 	 2 	 4 	 10 	 14 	 5 	 0
9 	 76 	 2 	 0 	 0 	 91 	 0 	 13 	 0 	 0 	 0 	 0
10 	 75 	 3 	 8 	 2 	 67 	 2 	 4 	 10 	 14 	 4 	 0
11 	 74 	 4 	 0 	 0 	 89 	 0 	 13 	 0 	 0 	 0 	 0
12 	 73 	 3 	 3 	 2 	 74 	 2 	 11 	 4 	 12 	 0 	 0
13 	 72 	 3 	 4 	 2 	 72 	 2 	 9 	 11 	 10 	 0 	 0
14 	 71 	 3 	 8 	 2 	 65 	 2 	 5 	 8 	 19 	 2 	 0
PID Priority State r_time w_time n_run cur_q  q0  q1   q2   q3   q4 
1 	 60 	 2 	 34 	 0 	 42 	 4 	 1 	 0 	 0 	 0 	 0
2 	 60 	 2 	 10 	 0 	 24 	 4 	 0 	 0 	 0 	 1 	 0
5 	 80 	 4 	 2 	 0 	 184 	 1 	 20 	 2 	 0 	 0 	 0
4 	 60 	 2 	 17 	 0 	 13 	 4 	 0 	 0 	 0 	 0 	 0
6 	 79 	 2 	 1 	 0 	 181 	 2 	 18 	 7 	 0 	 0 	 0
7 	 78 	 2 	 3 	 0 	 159 	 1 	 6 	 24 	 14 	 2 	 0
8 	 77 	 2 	 11 	 0 	 145 	 2 	 4 	 18 	 23 	 13 	 0
9 	 76 	 2 	 2 	 0 	 170 	 2 	 15 	 11 	 5 	 4 	 0
10 	 75 	 2 	 12 	 0 	 138 	 2 	 4 	 17 	 33 	 7 	 0
11 	 74 	 2 	 8 	 0 	 154 	 1 	 13 	 5 	 24 	 4 	 0
12 	 73 	 2 	 11 	 0 	 141 	 2 	 11 	 14 	 30 	 2 	 0
13 	 72 	 2 	 12 	 0 	 135 	 1 	 9 	 31 	 18 	 4 	 0
14 	 71 	 2 	 11 	 0 	 136 	 2 	 5 	 23 	 33 	 2 	 0
PID Priority State r_time w_time n_run cur_q  q0  q1   q2   q3   q4 
1 	 60 	 2 	 34 	 0 	 42 	 4 	 1 	 0 	 0 	 0 	 0
2 	 60 	 2 	 10 	 0 	 24 	 4 	 0 	 0 	 0 	 1 	 0
5 	 80 	 4 	 92 	 0 	 231 	 3 	 20 	 2 	 1 	 3 	 6
4 	 60 	 2 	 17 	 0 	 13 	 4 	 0 	 0 	 0 	 0 	 0
6 	 79 	 3 	 5 	 1 	 266 	 2 	 18 	 7 	 9 	 3 	 0
7 	 78 	 3 	 3 	 1 	 255 	 1 	 6 	 28 	 14 	 2 	 0
8 	 77 	 3 	 16 	 1 	 222 	 3 	 4 	 18 	 35 	 22 	 1
9 	 76 	 3 	 8 	 1 	 248 	 2 	 15 	 11 	 14 	 16 	 1
10 	 75 	 3 	 13 	 1 	 218 	 2 	 4 	 17 	 51 	 9 	 0
11 	 74 	 3 	 8 	 1 	 250 	 1 	 13 	 9 	 24 	 4 	 0
12 	 73 	 3 	 13 	 1 	 219 	 2 	 11 	 14 	 47 	 6 	 0
13 	 72 	 3 	 12 	 1 	 231 	 1 	 9 	 35 	 18 	 4 	 0
14 	 71 	 3 	 13 	 1 	 212 	 3 	 5 	 23 	 54 	 4 	 0
PID Priority State r_time w_time n_run cur_q  q0  q1   q2   q3   q4 
1 	 60 	 2 	 34 	 0 	 42 	 4 	 1 	 0 	 0 	 0 	 0
2 	 60 	 2 	 10 	 0 	 24 	 4 	 0 	 0 	 0 	 1 	 0
5 	 80 	 4 	 181 	 0 	 273 	 4 	 20 	 2 	 1 	 7 	 13
4 	 60 	 2 	 17 	 0 	 13 	 4 	 0 	 0 	 0 	 0 	 0
6 	 79 	 3 	 11 	 1 	 349 	 3 	 18 	 7 	 17 	 9 	 0
7 	 78 	 3 	 3 	 1 	 348 	 1 	 6 	 35 	 14 	 2 	 0
8 	 77 	 3 	 17 	 1 	 306 	 2 	 4 	 18 	 48 	 25 	 1
9 	 76 	 3 	 13 	 1 	 325 	 3 	 15 	 11 	 21 	 31 	 2
10 	 75 	 3 	 18 	 1 	 296 	 3 	 4 	 17 	 65 	 15 	 0
11 	 74 	 3 	 8 	 1 	 343 	 1 	 13 	 16 	 24 	 4 	 0
12 	 73 	 3 	 16 	 1 	 295 	 2 	 11 	 14 	 62 	 15 	 0
13 	 72 	 3 	 12 	 1 	 324 	 1 	 9 	 42 	 18 	 4 	 0
14 	 71 	 3 	 16 	 1 	 288 	 2 	 5 	 23 	 67 	 15 	 0
PID Priority State r_time w_time n_run cur_q  q0  q1   q2   q3   q4 
1 	 60 	 2 	 34 	 0 	 42 	 4 	 1 	 0 	 0 	 0 	 0
2 	 60 	 2 	 10 	 0 	 24 	 4 	 0 	 0 	 0 	 1 	 0
5 	 80 	 4 	 258 	 0 	 332 	 4 	 20 	 2 	 13 	 13 	 18
4 	 60 	 2 	 17 	 0 	 13 	 4 	 0 	 0 	 0 	 0 	 0
6 	 79 	 4 	 80 	 0 	 410 	 4 	 18 	 7 	 23 	 30 	 4
7 	 78 	 2 	 3 	 0 	 445 	 1 	 6 	 36 	 17 	 2 	 0
8 	 77 	 2 	 20 	 0 	 387 	 1 	 4 	 19 	 60 	 30 	 1
9 	 76 	 2 	 15 	 0 	 401 	 1 	 15 	 12 	 37 	 39 	 2
10 	 75 	 2 	 22 	 0 	 368 	 1 	 4 	 17 	 85 	 22 	 0
11 	 74 	 2 	 8 	 0 	 441 	 1 	 13 	 18 	 24 	 4 	 0
12 	 73 	 2 	 17 	 0 	 376 	 1 	 11 	 16 	 77 	 17 	 0
13 	 72 	 2 	 13 	 0 	 418 	 1 	 9 	 45 	 21 	 4 	 0
14 	 71 	 2 	 16 	 0 	 373 	 1 	 5 	 30 	 75 	 15 	 0
PID Priority State r_time w_time n_run cur_q  q0  q1   q2   q3   q4 
1 	 60 	 2 	 34 	 0 	 42 	 4 	 1 	 0 	 0 	 0 	 0
2 	 60 	 2 	 10 	 0 	 24 	 4 	 0 	 0 	 0 	 1 	 0
5 	 80 	 4 	 330 	 0 	 394 	 3 	 20 	 2 	 14 	 30 	 28
4 	 60 	 2 	 17 	 0 	 13 	 4 	 0 	 0 	 0 	 0 	 0
6 	 79 	 3 	 158 	 0 	 469 	 3 	 18 	 7 	 24 	 40 	 15
7 	 78 	 4 	 6 	 0 	 541 	 3 	 6 	 38 	 19 	 2 	 0
8 	 77 	 2 	 21 	 0 	 482 	 1 	 4 	 23 	 60 	 30 	 1
9 	 76 	 2 	 20 	 0 	 481 	 2 	 15 	 13 	 49 	 45 	 3
10 	 75 	 2 	 22 	 0 	 461 	 1 	 4 	 24 	 85 	 22 	 0
11 	 74 	 2 	 8 	 0 	 533 	 1 	 13 	 26 	 24 	 4 	 0
12 	 73 	 2 	 21 	 0 	 453 	 2 	 11 	 21 	 89 	 22 	 0
13 	 72 	 3 	 17 	 0 	 496 	 3 	 9 	 53 	 32 	 6 	 1
14 	 71 	 2 	 20 	 0 	 450 	 2 	 5 	 36 	 90 	 15 	 0
PID Priority State r_time w_time n_run cur_q  q0  q1   q2   q3   q4 
